site,Treatment,replicate,gm,ew,moisture,soil,ph,carbon,nitrogen,cover
HF,Invaded,1,14,3.01,0.2,16.1,4.67,6.57,4.47,4
HF,Invaded,2,0,3.78,0,16.6,4.75,14.27,0.91,0
HF,Invaded,3,4,6.14,0.35,16.1,5.05,7.42,2.6,4
MC,Invaded,1,107,6.37,0.33,19.6,5.31,8.64,3.39,5
MC,Invaded,2,43,5.29,0.62,19.9,4.74,5.21,1.92,5
MC,Invaded,3,26,9.53,0.75,19.6,5.16,6.99,0.47,4
HF,Eradicated,1,13,0.8,0.2,17.3,4.68,12.32,0.98,4
HF,Eradicated,2,0,2.05,0,16.3,4.45,12.49,4.85,0
HF,Eradicated,3,4,4.34,1.03,16.8,4.95,7.54,2.85,4
MC,Eradicated,1,132,4.02,0.66,18.7,5.21,7.86,2.6,8
MC,Eradicated,2,24,3.4,0.37,19.6,5.07,9.17,0.62,4
MC,Eradicated,3,0,2.74,0.31,19.1,4.84,7.85,0.53,0
HF,Control,1,0,3,1.26,16.5,4.48,10.77,5.1,0
HF,Control,2,0,5.44,0,16.7,4.61,9.56,3.48,0
HF,Control,3,0,1.56,0.59,15.8,4.7,11.24,0.82,0
MC,Control,1,0,0.43,0.48,19.2,4.69,7.01,2.68,0
MC,Control,2,0,1.59,0.62,18.8,4.74,5.15,1.85,0
MC,Control,3,0,1.11,0.51,20.4,4.73,7.73,0.54,0